"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","COMMENT","CURRENT RATING [A]","DC RESISTANCE [OHM]","DCR","I_MAX","I_SAT","IMPEDANCE [OHM]","IMPEDANCE AT 100 MHZ","LATESTREVISIONDATE","LATESTREVISIONNOTE","MAXIM INTEGRATED","MODEL","PN","POWER","PUBLISHER","Q","RATED CURRENT","RDC","SIZE","TEMP","TOLERANCE","VALUE","VENDOR","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"BQ51050BYFPR","BGA-28","","","","","","","TI bq51050b","","","","","","","","","","","","","","","","","","","","","","","","*","U?","TI Qi Inductive Charging Receiver with Battery Charging"
"BSS138","SOT-23","","","","","","","*","","","","","","","","","","","","BSS138","","","","","","","","","","Fairchild","","*","Q?","N-channel enhancement mode FET"
"C0827B005F","C0827B005F","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","M?","JinLong Machinery C0827B005F Vibration Motor"
"CC3200","QFN50P900X900X100_HS-65N","","","","","","","=PN","","","","","","","","","","","","CC3200","","","","","","","","","","TI","","*","U?","TI Wi-FI module"
"CLVBA-FKA-CAEDH8BBB7A363","PLCC4","","","","","","","=PN","","","","","","","","","","","","CLVBA-FKA-CAEDH8BBB7A363","","","","","","","","","","Rohm","","*","LED?","RGB LED 5mA 0604"
"CPH3448-TL-H","CPH3","","","","","","","=PN","","","","","","","","","","","","CPH3448-TL-H","","","","","","","","","","ON Semi","","*","Q?","N-channel enhancement mode Power FET"
"CRS04","CRS04","","","","","","","CRS04","","","","","","","","","","","","","","","","","","","","","","","","*","SD?","Schottky Diode"
"CSD97376Q4M","CSD97376Q4M","","","","","","","=PN","","","","","","","","","","","","CSD97376Q4M","","","","","","","","","","TI","","*","U?","Synchronous Buck NexFET Power Stage"
"C_0.047u_10_16_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","EMK105B7473KV-F","","","","","","0402","X7R","10%","0.047u","Taiyo Yuden","16V","*","C?","Chip capacitor"
"C_0.047u_10_50_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1005X7R1H473K050BB","","","","","","0402","X7R","10%","0.047u","TDK","50V","*","C?","Chip capacitor"
"C_0.068u_10_50_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1005X7R1H683K050BB","","","","","","0402","X7R","10%","0.068u","TDK","50V","*","C?","Chip capacitor"
"C_0.1u_10_100_X7R_1206","CAP1206_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C3216X7R2A104K160AA","","","","","","1206","X7R","10%","0.1u","TDK","100V","*","C?","Chip capacitor"
"C_0.1u_10_10_X5R_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","LMK063BJ104KP-F","","","","","","0201","X5R","10%","0.1u","Taiyo Yuden","10V","*","C?","Chip capacitor"
"C_0.1u_10_50_NP0_1210","CAP1210","","","","","","","=Value","","","","","","","","","","","","C3225C0G1H104K250AA","","","","","","1210","NP0","10%","0.1u","TDK","50V","*","C?","Chip capacitor"
"C_0.1u_10_50_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","UMK105B7104KV-FR","","","","","","0402","X7R","10%","0.1u","Taiyo Yuden","50V","*","C?","Chip capacitor"
"C_0.1u_10_50_X7R_0805","CAP0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","CC0805KRX7R9BB104","","","","","","0805","X7R","10%","0.1u","Yageo","50V","*","C?","Chip capacitor"
"C_0.1u_10_6.3_X5R_0201","CAP0201","","","","","","","=Value","","","","","","","","","","","","JMK063BJ104KP-F","","","","","","0201","X5R","10%","0.1u","Taiyo Yuden","6.3","*","C?","Chip capacitor"
"C_0.1u_20_16_X7R_0603","CAP0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","CL10B104MO8NNNC","","","","","","0603","X7R","20%","0.1u","Samsung","16V","*","C?","Chip capacitor"
"C_0.1u_5_50_C0G_1206","CAP1206_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C3216C0G1H104J160AA","","","","","","1206","C0G","5 %","0.1u","TDK","50 V","*","C?","Chip capacitor"
"C_0.22u_10_10_X7R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1005X7R1A224K050BB","","","","","","0402","X7R","10%","0.22u","TDK","10V","*","C?","Chip capacitor"
"C_0.47u_10_10_X5R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","LMK105BJ474KV-F","","","","","","0402","X5R","10%","0.47u","TDK","10V","*","C?","Chip capacitor"
"C_0.47u_10_25_X5R_0402","CAP0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","","C1005X5R1E474K050BB","","","","","","0402","X5R","10%","0.47u","TDK","25V","*","C?","Chip capacitor"
